k, x_0, y_0, size
387, 253, 767, 1540
388, 250, 767, 1542
389, 250, 766, 1544
390, 246, 767, 1546
391, 245, 767, 1548
392, 245, 765, 1550
393, 244, 764, 1552
394, 238, 767, 1554
395, 237, 767, 1556
396, 234, 767, 1558
397, 234, 766, 1560
398, 235, 763, 1562
399, 234, 762, 1564
400, 233, 761, 1566
401, 232, 760, 1568
402, 222, 767, 1570
403, 221, 767, 1572
404, 218, 767, 1574
405, 218, 766, 1576
406, 214, 767, 1578
407, 213, 767, 1580
408, 213, 765, 1582
409, 212, 764, 1584
410, 215, 759, 1586
411, 214, 758, 1588
412, 213, 757, 1590
413, 212, 756, 1592
414, 211, 755, 1594
415, 210, 754, 1596
416, 209, 753, 1598
417, 208, 752, 1600
418, 190, 767, 1602
419, 189, 767, 1604
420, 186, 767, 1606
421, 186, 766, 1608
422, 182, 767, 1610
423, 181, 767, 1612
424, 181, 765, 1614
425, 180, 764, 1616
426, 174, 767, 1618
427, 173, 767, 1620
428, 170, 767, 1622
429, 170, 766, 1624
430, 171, 763, 1626
431, 170, 762, 1628
432, 169, 761, 1630
433, 168, 760, 1632
434, 175, 751, 1634
435, 174, 750, 1636
436, 173, 749, 1638
437, 172, 748, 1640
438, 171, 747, 1642
439, 170, 746, 1644
440, 169, 745, 1646
441, 168, 744, 1648
442, 167, 743, 1650
443, 166, 742, 1652
444, 165, 741, 1654
445, 164, 740, 1656
446, 163, 739, 1658
447, 162, 738, 1660
448, 161, 737, 1662
449, 160, 736, 1664
450, 191, 703, 1666
451, 190, 702, 1668
452, 189, 701, 1670
453, 188, 700, 1672
454, 187, 699, 1674
455, 186, 698, 1676
456, 185, 697, 1678
457, 184, 696, 1680
458, 183, 695, 1682
459, 182, 694, 1684
460, 181, 693, 1686
461, 180, 692, 1688
462, 179, 691, 1690
463, 178, 690, 1692
464, 177, 689, 1694
465, 176, 688, 1696
466, 175, 687, 1698
467, 174, 686, 1700
468, 173, 685, 1702
469, 172, 684, 1704
470, 171, 683, 1706
471, 170, 682, 1708
472, 169, 681, 1710
473, 168, 680, 1712
474, 167, 679, 1714
475, 166, 678, 1716
476, 165, 677, 1718
477, 164, 676, 1720
478, 163, 675, 1722
479, 162, 674, 1724
480, 161, 673, 1726
481, 160, 672, 1728
482, 159, 671, 1730
483, 158, 670, 1732
484, 157, 669, 1734
485, 156, 668, 1736
486, 155, 667, 1738
487, 154, 666, 1740
488, 153, 665, 1742
489, 152, 664, 1744
490, 151, 663, 1746
491, 150, 662, 1748
492, 149, 661, 1750
493, 148, 660, 1752
494, 147, 659, 1754
495, 146, 658, 1756
496, 145, 657, 1758
497, 144, 656, 1760
498, 143, 655, 1762
499, 142, 654, 1764
500, 141, 653, 1766
501, 140, 652, 1768
502, 139, 651, 1770
503, 138, 650, 1772
504, 137, 649, 1774
505, 136, 648, 1776
506, 135, 647, 1778
507, 134, 646, 1780
508, 133, 645, 1782
509, 132, 644, 1784
510, 131, 643, 1786
511, 130, 642, 1788
512, 129, 641, 1790
513, 128, 640, 1792
514, 511, 1536, 2052
